starId	movieId
nm9425963	AMa50
nm9426608	AMa50
nm9429277	AMa50
nm9425316	AMa50
nm9425512	AMa50
nm9424298	AMa50
nm9423441	AMa50
nm9423268	AMa50
nm9426235	AMa50
nm9423229	AMa56
nm9428662	AMa56
nm9427413	AMa56
nm9426445	AMa56
nm9428559	AMa60
nm9423103	AMa60
nm9426035	AMa60
nm9427716	AMa60
nm9423806	AMa61
nm9424859	AMa61
nm9427124	AMa61
nm9429862	AMa61
nm9429242	AMa61
nm9429403	AMD10
nm9423647	AMD10
nm9423142	AMD10
nm9423151	AMD10
nm9428947	AMD10
nm9429403	AMD13
nm9426721	AMD13
nm9423861	AMD16
nm9424213	AMD16
nm9428977	AMD16
nm9423223	AMD16
nm9426035	AMg7
nm9428044	AMg7
nm9427943	AmH10
nm9424090	AmH10
nm9426667	AmH10
nm9428277	AmH10
nm9424868	AmH10
nm9429543	AmH10
nm9429053	AmH10
nm9424143	AmH13
nm9425862	AmH13
nm9423312	AmH13
nm9423312	AmH13
nm9426072	AmH13
nm9426408	AmH25
nm9424695	AMi12
nm9429224	AMi15
nm9427856	AMi19
nm9424653	AML1
nm9426109	AmM10
nm9423180	AmN1
nm9429318	AmN1
nm9428687	AmN1
nm9429470	AmN1
nm9424802	AmN1
nm9429755	AmN1
nm9426522	AMr10
nm9429108	AMy3
nm9425111	AMy3
nm9423760	AMy3
nm9425845	AMy3
nm9428599	AMy3
nm9426474	AMy10
nm9425845	AMy10
nm9423847	AMy10
nm9423879	AMy10
nm9425304	AMy18
nm9428868	AMy18
nm9425646	AMy18
nm9423326	AMy18
nm9425646	AMy18
nm9428868	AMy20
nm9427880	AMz1
nm9428847	AMz1
nm9424504	AMz5
nm9426312	AMz5
nm9423500	AMz5
nm9426953	AN10
nm9425105	AN10
nm9427905	AN10
nm9427331	AN10
nm9424517	AN10
nm9425638	AN10
nm9425273	AnA10
nm9429472	AnA10
nm9427876	AnB5
nm9423944	AnB5
nm9427768	AnB10
nm9429558	AnB10
nm9427233	AnB10
nm9426382	AnB10
nm9423819	AnB20
nm9423779	AnB20
nm9427321	AnB20
nm9426414	AnB20
nm9423553	AnB20
nm9428621	AnB20
nm9427402	AnB26
nm9428301	AnB26
nm9426286	AnC10
nm9426809	AnC10
nm9427397	AnC10
nm9429890	AnC10
nm9426752	AnC10
nm9423450	AnC10
nm9429908	AnC10
nm9426532	ANe10
nm9428551	ANe10
nm9429255	ANi10
nm9426718	AnL10
nm9426431	AnL12
nm9429621	AnL12
nm9429817	AnL12
nm9429232	AnL13
nm9423774	AnL13
nm9424068	AnL13
nm9428957	AnM16
nm9426053	AnM16
nm9424348	AnM16
nm9423212	AnM16
nm9428443	AnM16
nm9425415	AnM16
nm9423708	AnM16
nm9425127	AnM16
nm9424610	AnM16
nm9429897	AnM16
nm9427483	AnM17
nm9429028	AnM20
nm9429028	AnM22
nm9426344	AnM22
nm9429028	AnM24
nm9428534	AnM24
nm9429028	AnM25
nm9423184	AnM25
nm9427441	AnM25
nm9424772	AnM25
nm9426571	AnM25
nm9423274	AnM25
nm9426481	AnM25
nm9426767	AnM25
nm9429028	AnM27
nm9423184	AnM27
nm9426823	AnM27
nm9429028	AnM28
nm9426576	AnM30
nm9425114	AnM30
nm9428108	AnM30
nm9423963	AnM30
nm9423535	AnM30
nm9424882	AnM30
nm9427336	AnM30
nm9428534	AnM32
nm9428211	AnM32
nm9427472	AnM32
nm9424878	AnM32
nm9428534	AnM33
nm9428211	AnM33
nm9426819	AnM33
nm9425580	AnM33
nm9426805	AnM33
nm9427472	AnM33
nm9428921	AnM33
nm9425232	AnM33
nm9426079	AnM33
nm9426545	AnM33
nm9424329	AnM34
nm9425124	AnM35
nm9428620	AnM35
nm9423488	AnM35
nm9429151	AnM35
nm9427786	AnM35
nm9427170	AnM35
nm9427716	AnM35
nm9427127	AnM35
nm9427472	AnM35
nm9426306	AnM35
nm9429701	AnM35
nm9424513	AnM35
nm9428897	AnM35
nm9425846	AnM37
nm9426810	AnM37
nm9429398	AnM37
nm9427836	AnM37
nm9425192	AnM37
nm9428221	AnM37
nm9426780	AnM37
nm9425738	AnM37
nm9428701	AnM37
nm9425946	AnM37
nm9429762	AnM37
nm9428042	AnM40
nm9423755	AnM40
nm9427061	AnM40
nm9426810	AnM40
nm9426081	AnM40
nm9428061	AnM40
nm9428144	AnM40
nm9425041	AnM40
nm9428726	AnM40
nm9423203	AnP7
nm9428150	AnP7
nm9428803	AnP7
nm9429436	AnP7
nm9429373	AnP7
nm9428763	AnP8
nm9425449	AnP8
nm9426573	AnP8
nm9426780	AnP8
nm9426828	AnP8
nm9425669	AnP18
nm9425895	AnP18
nm9423880	AnQ10
nm9424299	AnS1
nm9426188	AnS1
nm9427035	AnS1
nm9423751	AnS1
nm9428414	AnS3
nm9425950	AnS3
nm9429764	AnS3
nm9423205	AnS3
nm9423965	AnS3
nm9424570	AnS15
nm9426221	AnS15
nm9423883	AnS33
nm9423785	AnS33
nm9427358	AnS33
nm9427900	AnS33
nm9423706	AnT5
nm9423405	AnT5
nm9429871	AnT5
nm9426218	AnT16
nm9424177	AnW10
nm9423374	APa5
nm9425145	APa5
nm9424547	APa6
nm9423390	APa6
nm9427343	APa6
nm9428140	APa6
nm9426044	APa6
nm9424000	APa7
nm9423462	APa7
nm9424581	APa7
nm9424453	APa7
nm9427222	APa7
nm9426290	APa12
nm9425075	APa12
nm9423173	APa12
nm9425862	APa12
nm9426290	APa12
nm9425583	APa20
nm9424473	APa20
nm9424762	APa20
nm9428139	APa24
nm9426931	APa30
nm9423403	APa30
nm9428123	APa30
nm9427952	APe10
nm9428612	APe10
nm9425269	APo10
nm9425415	APo10
nm9429782	APo10
nm9428294	APo10
nm9425002	APo40
nm9423534	APo40
nm9428234	APo43
nm9428469	APo43
nm9423660	APo43
nm9424200	APo43
nm9429095	APo43
nm9426637	APr10
nm9426003	APr10
nm9426047	APr12
nm9429109	APr12
nm9425952	APy10
nm9423536	APy10
nm9426884	APy10
nm9426934	APy10
nm9426867	APy10
nm9426604	APy15
nm9428716	AR5
nm9423539	AR8
nm9423758	AR8
nm9426796	AR8
nm9424645	AR8
nm9425345	AR10
nm9423692	AR10
nm9429562	AR10
nm9429084	AR10
nm9426443	ARa10
nm9428308	ARa10
nm9424321	ARa10
nm9424420	ARb1
nm9429155	ARb1
nm9423636	ARb1
nm9427215	ARb1
nm9426231	ARb1
nm9428384	ARb1
nm9429322	ArF10
nm9428343	ArF10
nm9429331	ARG2
nm9427261	ArH101
nm9425954	ArH102
nm9425133	ArH104
nm9425510	ArH104
nm9424720	ArH105
nm9428504	ArH105
nm9428561	ArH106
nm9424622	ArH107
nm9426167	ArH107
nm9426315	ArH107
nm9423315	ArH108
nm9427245	ArH108
nm9424272	ArH108
nm9423527	ArH109
nm9424791	ArH109
nm9426219	ArH110
nm9424805	ArH110
nm9425723	ArH111
nm9425203	ArH111
nm9424263	ArH112
nm9425541	ArH112
nm9423486	ArH112
nm9425178	ArH113
nm9428854	ArH114
nm9429872	ArH115
nm9428484	ArH115
nm9427024	ArH116
nm9425089	ArH117
nm9428772	ArH118
nm9425106	ArH118
nm9426678	ArH207
nm9424639	ArH207
nm9423438	ArH207
nm9427222	ArH207
nm9427380	ArH207
nm9427768	ArH208
nm9426890	ArH208
nm9427303	ArH208
nm9427002	ArH208
nm9426211	ArH208
nm9427086	ArH209
nm9428959	ArH209
nm9425686	ArH209
nm9425468	ArH209
nm9428910	ArH209
nm9428658	ArH210
nm9428348	ArH210
nm9426008	ArH210
nm9424848	ArH210
nm9426984	ArH210
nm9424206	ArH215
nm9429713	ArH215
nm9428125	ArH215
nm9427166	ArH215
nm9424976	ArH216
nm9423265	ArH216
nm9427829	ArH217
nm9423988	ArH217
nm9429638	ArH217
nm9424702	ArH217
nm9426394	ArH217
nm9425507	ArH217
nm9426100	ArH218
nm9427785	ArH218
nm9425641	ArH218
nm9425868	ArH218
nm9425860	ArH218
